Date,Open price,Highest price,Lowest price,Close price,Volume
"Aug 20, 2020","3,370.00","3,387.00","3,344.50","3,380.75","743,300"
"Aug 19, 2020","3,388.50","3,395.50","3,365.50","3,372.75","720,650"
"Aug 18, 2020","3,379.25","3,390.50","3,365.25","3,387.00","601,229"
"Aug 17, 2020","3,365.75","3,383.00","3,365.00","3,379.75","408,070"
"Aug 14, 2020","3,368.75","3,380.25","3,349.75","3,361.50","665,298"
"Aug 13, 2020","3,367.75","3,382.00","3,357.50","3,367.75","714,190"
"Aug 12, 2020","3,339.50","3,382.25","3,326.25","3,370.00","866,719"
"Aug 11, 2020","3,350.50","3,379.00","3,319.75","3,330.00","974,384"
"Aug 10, 2020","3,347.25","3,357.25","3,329.00","3,352.75","661,329"
"Aug 07, 2020","3,343.50","3,347.75","3,322.50","3,344.75","909,596"
"Aug 06, 2020","3,317.25","3,346.00","3,300.50","3,344.25","741,215"
"Aug 05, 2020","3,300.50","3,323.50","3,292.25","3,316.00","542,479"
"Aug 04, 2020","3,290.50","3,301.50","3,271.00","3,300.00","599,455"
"Aug 03, 2020","3,270.75","3,295.50","3,254.50","3,288.50","549,146"
"Jul 31, 2020","3,269.25","3,273.75","3,212.50","3,263.50","1,170,078"
"Jul 30, 2020","3,256.75","3,269.25","3,195.00","3,248.75","1,026,724"
"Jul 29, 2020","3,214.75","3,257.00","3,204.25","3,252.50","659,438"
"Jul 28, 2020","3,234.75","3,246.50","3,208.00","3,213.00","811,743"
"Jul 27, 2020","3,210.50","3,235.00","3,192.00","3,232.25","761,517"
"Jul 24, 2020","3,229.75","3,239.00","3,191.75","3,204.00","1,041,284"
"Jul 23, 2020","3,267.50","3,284.50","3,214.25","3,227.50","1,187,809"
"Jul 22, 2020","3,249.25","3,271.50","3,227.25","3,265.50","870,907"
"Jul 21, 2020","3,243.75","3,273.00","3,239.25","3,251.25","965,242"
"Jul 20, 2020","3,214.25","3,251.50","3,190.25","3,245.25","771,885"
"Jul 17, 2020","3,198.25","3,225.25","3,194.75","3,214.00","804,718"
"Jul 16, 2020","3,223.25","3,228.50","3,188.50","3,194.50","1,073,827"
"Jul 15, 2020","3,203.00","3,233.00","3,192.00","3,219.50","1,419,635"
"Jul 14, 2020","3,150.00","3,192.00","3,119.00","3,183.50","1,635,280"
"Jul 13, 2020","3,182.00","3,226.25","3,140.50","3,148.25","1,318,497"
"Jul 10, 2020","3,142.00","3,182.00","3,111.50","3,178.50","1,116,626"
"Jul 09, 2020","3,166.00","3,170.75","3,105.25","3,141.00","1,277,175"
"Jul 08, 2020","3,135.25","3,166.25","3,125.50","3,163.50","1,139,690"
"Jul 07, 2020","3,169.75","3,184.00","3,132.50","3,136.50","882,615"
"Jul 06, 2020","3,121.00","3,174.75","3,120.75","3,172.00","1,089,068"
"Jul 02, 2020","3,101.50","3,156.75","3,095.50","3,129.00","970,423"
"Jul 01, 2020","3,085.00","3,118.00","3,062.75","3,103.00","870,888"
"Jun 30, 2020","3,046.00","3,101.00","3,030.25","3,090.25","844,962"
"Jun 29, 2020","2,986.25","3,051.25","2,983.50","3,047.75","894,898"
"Jun 26, 2020","3,071.50","3,082.00","2,992.75","3,007.00","1,132,229"
"Jun 25, 2020","3,047.00","3,079.50","3,005.50","3,070.75","1,062,543"
"Jun 24, 2020","3,113.00","3,128.25","3,019.50","3,049.00","1,389,332"
"Jun 23, 2020","3,111.75","3,145.50","3,060.25","3,118.50","930,977"
"Jun 22, 2020","3,043.00","3,114.75","3,027.50","3,110.75","828,328"
"Jun 19, 2020","3,109.50","3,161.26","3,106.50","3,161.26","1,067,306"
"Jun 18, 2020","3,114.50","3,130.50","3,075.50","3,109.00","87,430"
"Jun 17, 2020","3,122.25","3,158.00","3,105.25","3,118.00","109,140"
"Jun 16, 2020","3,077.00","3,167.00","3,071.25","3,128.75","261,299"
"Jun 15, 2020","3,002.50","3,079.50","2,935.25","3,073.00","379,285"
"Jun 12, 2020","3,015.00","3,087.75","2,982.25","3,034.75","676,747"
"Jun 11, 2020","3,183.75","3,188.75","2,996.25","3,010.25","1,888,206"
"Jun 10, 2020","3,205.00","3,227.25","3,179.75","3,186.00","1,203,733"
"Jun 09, 2020","3,227.50","3,231.00","3,190.00","3,205.50","916,394"
"Jun 08, 2020","3,192.25","3,231.25","3,183.25","3,227.50","790,782"
"Jun 05, 2020","3,113.50","3,210.50","3,106.25","3,186.75","1,112,781"
"Jun 04, 2020","3,117.00","3,127.00","3,087.50","3,110.50","1,009,461"
"Jun 03, 2020","3,077.75","3,129.50","3,074.25","3,117.75","732,402"
"Jun 02, 2020","3,052.75","3,079.25","3,034.25","3,077.00","764,713"
"Jun 01, 2020","3,032.00","3,058.75","3,007.75","3,054.00","714,753"
"May 29, 2020","3,036.00","3,058.50","2,992.25","3,042.00","1,176,313"
"May 28, 2020","3,034.50","3,065.50","3,019.50","3,038.00","958,717"
"May 27, 2020","2,994.25","3,039.75","2,965.50","3,035.50","1,168,154"
"May 26, 2020","2,948.75","3,019.75","2,947.75","2,994.50","1,023,998"
"May 22, 2020","2,936.75","2,957.25","2,903.75","2,953.00","866,849"
"May 21, 2020","2,972.00","2,973.50","2,933.00","2,937.00","1,079,352"
"May 20, 2020","2,913.75","2,975.75","2,908.50","2,968.50","865,157"
"May 19, 2020","2,945.00","2,976.25","2,913.75","2,918.75","921,190"
"May 18, 2020","2,860.00","2,964.50","2,850.00","2,948.00","768,821"
"May 15, 2020","2,846.00","2,863.00","2,809.50","2,846.50","1,151,670"
"May 14, 2020","2,820.25","2,853.75","2,760.25","2,847.00","1,353,295"
"May 13, 2020","2,840.00","2,876.50","2,786.25","2,813.00","1,541,126"
"May 12, 2020","2,919.00","2,939.75","2,838.00","2,852.50","974,692"
"May 11, 2020","2,921.00","2,946.50","2,889.50","2,922.75","801,756"
"May 08, 2020","2,881.75","2,932.75","2,879.25","2,928.50","641,598"
"May 07, 2020","2,832.25","2,894.75","2,823.25","2,880.00","833,230"
"May 06, 2020","2,857.50","2,886.25","2,832.00","2,833.50","888,865"
"May 05, 2020","2,827.00","2,889.50","2,824.50","2,858.25","760,646"
"May 04, 2020","2,793.00","2,835.75","2,770.75","2,825.25","886,987"
"May 01, 2020","2,873.00","2,879.50","2,811.75","2,821.75","990,942"
"Apr 30, 2020","2,956.50","2,965.25","2,878.25","2,902.50","1,134,559"
"Apr 29, 2020","2,870.75","2,959.50","2,860.75","2,941.00","912,841"
"Apr 28, 2020","2,867.75","2,913.50","2,851.25","2,867.25","974,954"
"Apr 27, 2020","2,828.75","2,883.00","2,812.75","2,869.00","695,131"
"Apr 24, 2020","2,777.00","2,836.00","2,755.00","2,829.50","718,259"
"Apr 23, 2020","2,790.25","2,836.75","2,772.50","2,780.75","1,098,113"
"Apr 22, 2020","2,737.25","2,808.00","2,717.25","2,788.50","844,258"
"Apr 21, 2020","2,807.00","2,833.25","2,717.25","2,732.00","1,350,460"
"Apr 20, 2020","2,861.75","2,875.75","2,804.25","2,806.50","951,288"
"Apr 17, 2020","2,858.00","2,885.25","2,821.00","2,870.00","958,259"
"Apr 16, 2020","2,767.50","2,831.50","2,746.50","2,787.50","960,929"
"Apr 15, 2020","2,843.50","2,845.75","2,751.25","2,775.00","861,143"
"Apr 14, 2020","2,760.50","2,848.75","2,752.50","2,843.00","735,110"
"Apr 13, 2020","2,807.00","2,820.50","2,710.25","2,759.25","800,021"
"Apr 09, 2020","2,737.50","2,809.75","2,700.25","2,779.75","1,114,248"
"Apr 08, 2020","2,640.75","2,752.50","2,620.75","2,735.00","989,636"
"Apr 07, 2020","2,645.50","2,749.00","2,623.75","2,642.00","1,179,264"
"Apr 06, 2020","2,483.25","2,668.50","2,483.25","2,644.50","758,938"
"Apr 03, 2020","2,514.00","2,529.50","2,448.75","2,482.75","823,086"
"Apr 02, 2020","2,458.25","2,525.00","2,424.75","2,516.50","1,060,722"
"Apr 01, 2020","2,562.50","2,562.50","2,434.25","2,448.00","884,677"
"Mar 31, 2020","2,612.25","2,639.25","2,555.75","2,569.75","864,900"
"Mar 30, 2020","2,465.00","2,621.50","2,447.00","2,611.25","944,238"
"Mar 27, 2020","2,627.00","2,635.00","2,505.50","2,524.00","1,022,402"
"Mar 26, 2020","2,471.50","2,626.00","2,401.75","2,608.00","1,146,174"
"Mar 25, 2020","2,442.50","2,561.50","2,378.25","2,467.00","1,397,589"
"Mar 24, 2020","2,233.25","2,448.00","2,230.25","2,438.00","1,057,349"
"Mar 23, 2020","2,220.50","2,385.50","2,174.00","2,220.50","1,317,779"
"Mar 20, 2020","2,365.00","2,513.00","2,343.00","2,437.98","1,626,055"
"Mar 19, 2020","2,414.25","2,474.25","2,287.25","2,403.25","101,131"
"Mar 18, 2020","2,478.75","2,498.75","2,273.50","2,414.00","95,464"
"Mar 17, 2020","2,420.75","2,554.25","2,365.00","2,495.50","167,283"
"Mar 16, 2020","2,673.75","2,698.50","2,351.00","2,416.25","190,088"
"Mar 13, 2020","2,433.00","2,708.50","2,393.25","2,696.00","503,889"
"Mar 12, 2020","2,738.25","2,773.50","2,442.00","2,469.00","1,447,148"
"Mar 11, 2020","2,861.75","2,869.50","2,703.00","2,740.25","1,109,823"
"Mar 10, 2020","2,733.50","2,884.75","2,694.75","2,865.75","1,061,592"
"Mar 09, 2020","2,916.50","2,917.00","2,713.50","2,747.75","806,067"
"Mar 06, 2020","3,024.00","3,037.00","2,898.00","2,964.00","913,066"
"Mar 05, 2020","3,110.00","3,114.00","2,996.75","3,015.50","718,122"
"Mar 04, 2020","2,988.75","3,129.25","2,976.75","3,114.75","647,060"
"Mar 03, 2020","3,077.00","3,136.50","2,973.00","2,997.00","1,096,486"
"Mar 02, 2020","2,904.00","3,093.00","2,888.00","3,065.00","946,817"
"Feb 28, 2020","2,950.50","2,995.75","2,853.00","2,951.00","1,735,325"
"Feb 27, 2020","3,101.25","3,117.00","2,944.50","2,957.00","1,282,240"
